document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
98,The purpose of the experiment was to analyze how accurate my perception of 3D graphics is and analyze and study this data to find the best ways to convey data accurately.,0.06715373005119112,0.09141182153347613,0.08201815076271797,0.06700724354222289,0.1766461901707853,0.15014617878728992,0.30671852824619034
99,"At the beginning of the experiment, I was completely lost and did not know what the purpose of the experiment was. During around the middle of answering the questions, I thought it would be about if a person can identify the correct images from the printed models to the 3d images as well as the 2d images. Now, I think the purpose of the experiment is to see what different mediums of data visualization can be more accurately portrayed.",1.18398966278722e-308,1.0026149737910214e-308,2.2257228341627e-308,1.020155296687488e-308,1.0,1.342064917654298e-308,4.0703430722980285e-308
100,To depict whether a participant will be able to tell how small one part of the blocks are compared to the others in 2D vs 3D.,0.16101742551596146,0.11821725741756348,0.11963353310750338,0.08373989043782441,0.08622952641509594,0.06624064611645676,0.14927158984791622
101,The purpose of the experiment was to understand why we did this experiment and what we learned from it.,0.9046828583448003,0.00952182610350993,0.04100993188739296,0.010324410304515929,0.013044942141362483,0.007811167182636414,0.013604864035781821
102,To determine whether physical 3D graphs are easier for people to correctly read than digital 3D graphs.,0.07348784184832012,0.12141789569008421,0.07583835216766707,0.08023943759317777,0.2041701826777078,0.2730215568355667,0.16112003693256685
103,I think that the purpose of the experiment was to see whether or not we could identify different graphs when they look different.,0.08059304893237494,0.08486084882528354,0.07745351135710851,0.09961323067233926,0.2039395128071557,0.08470114884571345,0.08652991746332432
104,I think the purpose of this experiment was for us participants to determine how the depth of objects without any clear indications. To be able to estimate lengths and heights of different objects.,2.0629712511612483e-308,1.013837602143337e-308,1.0,1.04285657105992e-308,1.716445493244385e-308,8.03804882282537e-309,3.0175792672673276e-308
105,Figuring out which medium allowed the most accurate judging of difference in the length of the bars.,1.229991888913185e-308,2.9949431427034534e-308,9.67298054713921e-309,1.0,1.12936644580975e-308,9.319880007408726e-309,9.702999827084677e-309
106,To determine whether people interpret 3D graphs better than 2D ones.,0.09505533807810142,0.2071564082044714,0.08178302032621107,0.10316396375443848,0.1776877300944121,0.1862545101319667,0.1381943331554894
107,to see the amount of hours that a student slept. I and I was comparing different values given to me.,0.0819790276995099,0.6209265374188112,0.04767210597770262,0.07380534526785376,0.06588326873312925,0.05573388607990077,0.05399982882309229
