document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
155,"As the project continued and more parts became available, information regarding the focus of the project also became available. Similarly, the size and importance of the project provided different information with progress.",0.016770993777589237,0.04637782276269465,0.04799998049075398,0.06556828239486986,0.17102871434836192,0.10970282819179664,0.04824318088574391,0.07711782262564368,0.052958105008049094,0.056145518775748,0.049062211220327764
156,During the participation and post study I did not understand the study as well as I did once I read the extended abstract. After I read the extended abstract I understood it a lot better and then after the presentation I understood it completely.,0.014707471095419592,0.06955694335976784,0.08948330914397738,0.06039283710600663,0.04238585110462754,0.08253843831266074,0.10235526394623716,0.05199100609006393,0.06639623640873724,0.03634958186423275,0.05574703078875533
157,They differed by how interactive they actually were. It was more interactive with the actual experimentation then it was when doing these reflections and readings.,9.443098227732434e-309,1.699847730754333e-308,1.6222021568400953e-308,8.863659233321258e-308,2.993897718648914e-308,3.2117909761841526e-308,2.614224019566135e-308,1.783248422466793e-308,6.111050310287092e-308,1.0,1.51823112767622e-308
158,As each step of the study continued I gained more knowledge of what this study was truly meant for. During just the participation I was very confused on the purpose but now I see.,0.013959095997466218,0.08681462500768404,0.061483328687533034,0.0345278772623351,0.0392332294313677,0.04282449705379105,0.04062834974227573,0.07877073780154631,0.032292254376160665,0.026401935905569576,0.4067931099491972
159,After learning about the presentation and extended abstract I learned that the study was to see how beneficial 3d graphs were. At the beginning during participation I thought that we were just being tested on perception.,0.5155719356964261,0.05988568362747644,0.04662568124258397,0.06307584725202871,0.04156396336693352,0.04424337126433575,0.04807685089069291,0.039513813369599596,0.048350004095867025,0.04904314418512272,0.04404970500893307
160,"It helped me to understand a true experiment start to finish, Realizing all of the ways that the experiment is performed helps me to learn how they do it.",1.228579450570057e-308,2.782820035084844e-308,2.4771873049330243e-308,1.0,2.8206637361193044e-308,4.451996153254394e-308,3.91389051732233e-308,2.1603244597370137e-308,5.315991526130708e-308,4.540763900110022e-308,2.090332873058001e-308
161,The information differed because at the beginning we did not really understand the purpose of the experiment and it was more about making inferences. Once we got more tools like the abstract and the presentation it was easier to see the goal of the experiment and apply it to how I felt when participating at the beginning.,1.085509931400035e-308,2.1598076134405934e-308,1.9251829665523804e-308,1.0,3.30373914169228e-308,3.9975042271802523e-308,3.2212351920574526e-308,2.04248502556726e-308,7.006034903702582e-308,1.5832591160854251e-307,1.8103367982522866e-308
162,"During the participation, I did not gain much information, especially because we were not presented with the scientific question or any of the hypotheses. The post-study reflection and extended abstract provided similar information to me, we were able to understand what we participated in and why they conducted the experiment the way they did. Finally, the presentation gave me the most information, which gave me info on all of the experiments, and a very good overview of the entire experiment.",0.016506819221732832,0.07127176807336195,0.11610795086498008,0.06598833267218132,0.062409947577375016,0.1348720463053514,0.07467520246985344,0.07573754689436331,0.0635794134521152,0.04092656330606061,0.06415158887756844
163,"Each one gave me more and more insight into the composition of the experiment. Overall I gained the most knowledge from the last one, it thoroughly describes every single thing about the experiment.",1.183058458503583e-308,2.448755263979857e-308,2.295604639776781e-308,1.0,2.849954865617963e-308,4.3264553695274065e-308,3.9130208761867806e-308,2.0649871476629394e-308,6.703873460593195e-308,5.452759789669005e-308,1.913535815211997e-308
164,"While participating, I was unaware of the project's components. I gained much more information about them through the extended abstract and presentation.",8.10638407225233e-309,1.953229134302775e-308,2.2332748363027863e-308,2.704655401224713e-308,1.0,4.300006019743852e-308,2.5137506897971656e-308,3.9539822570633335e-308,2.6712779277975954e-308,2.877312056803972e-308,2.1141959963205297e-308
165,"The information gained from the abstract was beneficial in getting a basic understanding of the experiment. The experiment and post-study reflection did not provide information personally, but after reading the abstract and watching the presentation, I can look back and see the purpose of the experiment and how it relates to the real world. The presentation was the most beneficial because he explained in it a way by showing pictures that related to the experiment that I participated in.",0.01520055880352506,0.04967555110064051,0.07287495645127327,0.08584617980756543,0.031070000053891635,0.05384418737822488,0.07649162488032606,0.033419066114197385,0.06458344300063866,0.03218452819394129,0.036357300393053474
166,i feel like each component gave me more and more information about the experiment and it made more sense throughout the different components. I remember initially being really confused on what we were doing and why.,1.184507994076857e-308,2.4874612495155395e-308,2.289476678192102e-308,1.0,3.0062796121201163e-308,4.565200154573914e-308,3.738849239281142e-308,2.1265440330499534e-308,6.017212112129538e-308,5.559340789984948e-308,1.974007607658066e-308
167,"Each part of the project helped me understand the graphs in a different way. Making and using the 2D, 3D, and printed graphs during participation showed me how the same data can look really different depending on how it’s being presented. The reflection, abstract, and presentation helped me think more about which types were easiest to understand and how visuals can affect how people interpret data.",0.34616924711957825,0.0610319779115237,0.047792015928201086,0.06145311128174712,0.04295655943296142,0.04536047662241143,0.04667720323202969,0.041726299669830706,0.046674405783933726,0.04720815568807964,0.04629454753963973
